name,country,price,rating,image,region,winery,flavor,food_pairing,grapes
Tinazzi Vinum Italicum No 3 Opera,Itália,29.99,4.2,,Vino d'Italia,Tinazzi,"oak, black fruit, red fruit, non oak, earth, spices, dried fruit, microbio, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Carne de vaca, Massa, Cordeiro, Vitela, Carne de caça (cervo, veado), Carne curada",
Susana Balbo Signature Brioso 2024,Argentina,26.99,4.2,,Agrelo,Susana Balbo,"oak, black fruit, non oak, earth, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Carne de vaca, Massa, Cordeiro, Aves","Cabernet Sauvignon, Cabernet Franc, Malbec, Merlot, Petit Verdot, Carménère"
Segura Viudas Cava Reserva Heredad Brut,Espanha,34.99,3.9,,Cava,Segura Viudas,"tree fruit, citrus fruit, earth, microbio, non oak, oak, vegetal, tropical fruit, spices, red fruit, floral, dried fruit, black fruit","Marisco, Aperitivos e lanches, Peixes magros, Aperitivo, Carne curada","Xarel-lo, Parellada, Trepat, Viura"
W. & J. Graham's 10 Year Old Tawny Port,Portugal,28,4.2,,Porto,W. & J. Graham's,"non oak, oak, dried fruit, earth, microbio, red fruit, spices, black fruit, vegetal, citrus fruit, tree fruit, floral, tropical fruit","Sobremesa, Queijos maduros, Queijo azul","Touriga Nacional, Touriga Franca, Tinta Roriz"
Willamette Valley Vineyards Whole Cluster Pinot Noir 2008,Estados Unidos,32.84,4.1,,Willamette Valley,Willamette Valley Vineyards,"red fruit, oak, earth, non oak, spices, black fruit, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Pinot Noir
Troublemaker Red Blend,Estados Unidos,14.99,3.8,,Paso Robles,Troublemaker,"oak, non oak, spices, black fruit, earth, red fruit, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Carne de vaca, Cordeiro, Vitela, Aves","Shiraz/Syrah, Cabernet Sauvignon, Merlot, Zinfandel"
Joel Gott Sauvignon Blanc 2006,Estados Unidos,14.27,3.7,,California,Joel Gott,"citrus fruit, tree fruit, tropical fruit, earth, oak, vegetal, microbio, spices, non oak, floral, red fruit, black fruit, dried fruit","Marisco, Vegetariano, Queijo de cabra",Sauvignon Blanc
Piper-Heidsieck Brut Champagne,França,43.99,3.9,,Champagne,Piper-Heidsieck,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, dried fruit, black fruit","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles","Chardonnay, Pinot Noir, Pinot Meunier"
La Gioiosa Prosecco Treviso,Itália,19.96,3.7,,Prosecco di Treviso,La Gioiosa,"tree fruit, citrus fruit, earth, microbio, vegetal, non oak, oak, tropical fruit, floral, red fruit, spices, black fruit, dried fruit","Marisco, Vegetariano, Aperitivos e lanches, Aperitivo, Carne curada",Glera
Yellow Tail Merlot 2024,Austrália,11.69,3.3,,South Eastern Australia,Yellow Tail,"oak, black fruit, spices, non oak, red fruit, earth, microbio, dried fruit, vegetal, tree fruit, citrus fruit, floral, tropical fruit","Carne de vaca, Cordeiro, Vitela",Merlot
Napa Cellars Cabernet Sauvignon 2006,Estados Unidos,45.99,3.9,,Napa Valley,Napa Cellars,"oak, black fruit, non oak, earth, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit, tropical fruit","Carne de vaca, Cordeiro, Carne de caça (cervo, veado), Queijos maduros, Aves",Cabernet Sauvignon
Freixenet Cava Carta Nevada Brut,Espanha,10.99,3.6,,Cava,Freixenet,"tree fruit, citrus fruit, earth, microbio, non oak, oak, tropical fruit, vegetal, red fruit, spices, black fruit, floral, dried fruit","Marisco, Aperitivos e lanches, Peixes magros, Aperitivo, Carne curada","Xarel-lo, Parellada, Trepat, Viura"
Taittinger Brut La Francaise Champagne,França,29.99,4.2,,Champagne,Taittinger,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, tropical fruit, red fruit, floral, black fruit, dried fruit","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles","Chardonnay, Pinot Noir, Pinot Meunier"
Henriot Souverain Brut Champagne,França,52.99,4,,Champagne,Henriot,"tree fruit, non oak, citrus fruit, microbio, oak, earth, vegetal, spices, red fruit, tropical fruit, floral, black fruit, dried fruit","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles","Chardonnay, Pinot Noir, Pinot Meunier"
Santa Margherita Valdobbiadene Prosecco Superiore,Itália,21.99,3.8,,Conegliano-Valdobbiadene Prosecco Superiore,Santa Margherita,"tree fruit, citrus fruit, earth, microbio, non oak, oak, vegetal, tropical fruit, floral, spices, red fruit, dried fruit, black fruit","Marisco, Vegetariano, Aperitivos e lanches, Aperitivo, Carne curada",Glera
Ayala Brut Majeur Champagne,França,59.99,3.9,,Champagne,Ayala,"citrus fruit, tree fruit, non oak, microbio, oak, earth, vegetal, spices, tropical fruit, floral, red fruit, dried fruit, black fruit","Carne de porco, Peixe (salmão, atum etc.), Marisco, Queijos suaves e moles","Chardonnay, Pinot Noir, Pinot Meunier"
