name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
C. da Silva Presidential White Porto,Portugal,14.99,3.7,images/C_da_Silva_Presidential_White_Porto.png,images/bottle_C_da_Silva_Presidential_White_Porto.png,Porto,C. da Silva,"tree fruit, dried fruit, earth, tropical fruit, citrus fruit, floral, microbio, non oak","Appetizers and snacks, Fruity desserts, Aperitif, Cured Meat","Gouveio, Rabigato, Malvasia Fina"
Quinta do Passadouro Vintage Port 1994,Portugal,75,4.1,images/Quinta_do_Passadouro_Vintage_Port_1994.png,images/bottle_Quinta_do_Passadouro_Vintage_Port_1994.png,Porto,Quinta do Passadouro,"oak, black fruit, earth, non oak, red fruit, dried fruit, spices, microbio, citrus fruit, vegetal, floral","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Sandeman Vintage Port 1963,Portugal,459,4.7,images/Sandeman_Vintage_Port_1963.png,images/bottle_Sandeman_Vintage_Port_1963.png,Porto,Sandeman,"oak, non oak, dried fruit, black fruit, spices, earth, red fruit, microbio, citrus fruit, floral, vegetal, tree fruit","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Toro Albalá Poley Pedro Ximenez Dulce 2019,Spain,39.99,4.1,images/Toro_Albal_Poley_Pedro_Ximenez_Dulce_2019.png,images/bottle_Toro_Albal_Poley_Pedro_Ximenez_Dulce_2019.png,Montilla-Moriles,Toro Albalá,"earth, dried fruit, non oak, tree fruit, microbio, oak","Fruity desserts, Blue cheese, Aperitif","Palomino, Pedro Ximenez, Moscatel"
Mancino Rosso Amaranto Vermouth,Italy,49.95,4.3,images/Mancino_Rosso_Amaranto_Vermouth.png,images/bottle_Mancino_Rosso_Amaranto_Vermouth.png,Piemonte,Mancino,"spices, earth, oak",,
Gomez Nevado Pálido Sierra Morena Dry Seco,Spain,15.99,3.6,images/Gomez_Nevado_Plido_Sierra_Morena_Dry_Seco.png,images/bottle_Gomez_Nevado_Plido_Sierra_Morena_Dry_Seco.png,Jerez-Xérès-Sherry,Gomez Nevado,"non oak, oak, earth, vegetal, microbio, tree fruit, black fruit, dried fruit, citrus fruit","Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat","Palomino, Moscato, Pedro Ximenez"
La Fuerza Vermouth Rojo,Argentina,28.99,4.2,images/La_Fuerza_Vermouth_Rojo.png,images/bottle_La_Fuerza_Vermouth_Rojo.png,Mendoza,La Fuerza,,,
Duff Gordon Vintage Port 1994,Portugal,56,4.1,images/Duff_Gordon_Vintage_Port_1994.png,images/bottle_Duff_Gordon_Vintage_Port_1994.png,Porto,Duff Gordon,"red fruit, dried fruit, earth, black fruit, spices","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Glacial Till Prairie Fire 2021,United States,25,4.2,images/Glacial_Till_Prairie_Fire_2021.jpg,,Nebraska,Glacial Till,"oak, red fruit, earth, non oak, black fruit, spices, dried fruit",,
Krohn Colheita Port 1957,Portugal,560,4.8,images/Krohn_Colheita_Port_1957.png,images/bottle_Krohn_Colheita_Port_1957.png,Porto,Krohn,"non oak, oak, dried fruit, microbio, black fruit, earth, spices, citrus fruit, red fruit, vegetal, tree fruit, tropical fruit, floral","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Toro Albalá Don PX Selección 1949,Spain,565,4.6,images/Toro_Albal_Don_PX_Seleccin_1949.png,images/bottle_Toro_Albal_Don_PX_Seleccin_1949.png,Montilla-Moriles,Toro Albalá,"non oak, oak, dried fruit, earth, microbio, spices, black fruit, citrus fruit, red fruit, floral","Fruity desserts, Blue cheese, Aperitif","Palomino, Pedro Ximenez, Moscatel"
Antica Torino Vermouth di Torino Rosso,Italy,35.99,4.3,images/Antica_Torino_Vermouth_di_Torino_Rosso.png,images/bottle_Antica_Torino_Vermouth_di_Torino_Rosso.png,Piemonte,Antica Torino,"citrus fruit, spices, vegetal, non oak, oak",,
Domaine du Mas Blanc Banyuls Collection 1986,France,91.99,4.4,images/Domaine_du_Mas_Blanc_Banyuls_Collection_1986.png,images/bottle_Domaine_du_Mas_Blanc_Banyuls_Collection_198.png,Banyuls,Domaine du Mas Blanc,"oak, non oak, black fruit, dried fruit, red fruit, tropical fruit, earth","Mature and hard cheese, Blue cheese, Aperitif",
Cálem Vintage Port 1977,Portugal,299,4.5,images/Clem_Vintage_Port_1977.png,images/bottle_Clem_Vintage_Port_1977.png,Porto,Cálem,"oak, black fruit, dried fruit, non oak, earth, spices, red fruit, microbio, vegetal, floral, tropical fruit, tree fruit","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Quinta da Romaneira Vintage Port 2015,Portugal,59.99,4,images/Quinta_da_Romaneira_Vintage_Port_2015.png,images/bottle_Quinta_da_Romaneira_Vintage_Port_2015.png,Porto,Quinta da Romaneira,"black fruit, oak, red fruit, dried fruit, non oak, earth, spices, floral, vegetal, microbio, citrus fruit","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Mancino Chinato Vermouth,,59.95,4.1,images/Mancino_Chinato_Vermouth.png,images/bottle_Mancino_Chinato_Vermouth.png,,Mancino,"earth, black fruit, red fruit, dried fruit, citrus fruit, non oak, oak",,
Seyra 10 Years Tawny Port,Portugal,50.96,4.1,images/Seyra_10_Years_Tawny_Port.jpg,,Porto,Seyra,"non oak, oak, dried fruit, red fruit, spices","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Gomez Nevado Dorado Sierra Morena Seco,Spain,33.99,3.7,images/Gomez_Nevado_Dorado_Sierra_Morena_Seco.jpg,,Jerez-Xérès-Sherry,Gomez Nevado,"non oak, oak, tree fruit, citrus fruit, microbio","Mature and hard cheese, Appetizers and snacks, Aperitif, Cured Meat","Palomino, Moscato, Pedro Ximenez"
Souza Vintage Port 1995,Portugal,75,4.2,images/Souza_Vintage_Port_1995.jpg,,Porto,Souza,"dried fruit, earth, non oak, black fruit, spices, microbio, oak","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Gould Campbell Vintage Port 1983,Portugal,109,4.3,images/Gould_Campbell_Vintage_Port_1983.png,images/bottle_Gould_Campbell_Vintage_Port_1983.png,Porto,Gould Campbell,"oak, non oak, dried fruit, spices, black fruit, red fruit, earth, microbio, tree fruit, citrus fruit, floral, vegetal","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Barbadillo Amontillado Sherry,Spain,11.99,3.6,images/Barbadillo_Amontillado_Sherry.png,images/bottle_Barbadillo_Amontillado_Sherry.png,Jerez-Xérès-Sherry,Barbadillo,"non oak, oak","Pork, Mature and hard cheese, Poultry, Appetizers and snacks, Aperitif, Cured Meat",Palomino
Justino's Madeira V. J. H. Verdelho Madeira 1954,Portugal,365,4.4,images/Justinos_Madeira_V_J_H_Verdelho_Madeira_1954.png,images/bottle_Justinos_Madeira_V_J_H_Verdelho_Madeira_195.png,Madeira,Justino's Madeira,"earth, non oak, citrus fruit, spices, microbio, oak, dried fruit, tree fruit, vegetal, black fruit","Sweet desserts, Appetizers and snacks","Verdelho, Sercial, Malmsey, Boal Branco, Terrantez"
Sandeman The Silver Jubilee Vintage Port 1977,Portugal,155,4.5,images/Sandeman_The_Silver_Jubilee_Vintage_Port_1977.jpg,,Porto,Sandeman,"oak, spices, non oak, dried fruit, red fruit, earth, black fruit, citrus fruit, floral, vegetal, microbio","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Porto Menéres Fine White Port,Portugal,16.99,3.9,images/Porto_Menres_Fine_White_Port.png,images/bottle_Porto_Menres_Fine_White_Port.png,Porto,Porto Menéres,"oak, citrus fruit, dried fruit, earth, non oak, microbio","Appetizers and snacks, Fruity desserts, Aperitif, Cured Meat","Gouveio, Rabigato, Malvasia Fina"
Delaforce Vintage Port 1970,Portugal,165,4.2,images/Delaforce_Vintage_Port_1970.png,images/bottle_Delaforce_Vintage_Port_1970.png,Porto,Delaforce,"black fruit, oak, dried fruit, non oak, red fruit, spices, earth, microbio, vegetal, citrus fruit, tropical fruit, floral","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Quinta do Noval Vintage Port Nacional 2004,Portugal,599.99,4.7,images/Quinta_do_Noval_Vintage_Port_Nacional_2004.png,images/bottle_Quinta_do_Noval_Vintage_Port_Nacional_2004.png,Porto,Quinta do Noval,"oak, non oak, black fruit, earth, dried fruit, spices, red fruit, microbio, citrus fruit, floral, tree fruit, vegetal, tropical fruit","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Terroirs du Sud Banyuls Doux Naturel 1949,France,530,4,images/Terroirs_du_Sud_Banyuls_Doux_Naturel_1949.jpg,,Banyuls,Terroirs du Sud,"earth, non oak, oak","Mature and hard cheese, Blue cheese, Aperitif",
Altanza Colección Roberto Amillo Oloroso,Spain,67.99,4.2,images/Altanza_Coleccin_Roberto_Amillo_Oloroso.png,images/bottle_Altanza_Coleccin_Roberto_Amillo_Oloroso.png,Jerez-Xérès-Sherry,Altanza,"non oak, citrus fruit, microbio, oak, vegetal, earth, dried fruit, spices","Beef, Game (deer, venison), Mature and hard cheese, Mushrooms, Cured Meat",Palomino
D'Oliveiras Colheita Tinta Negra Madeira 1929,Portugal,999.99,4.6,images/DOliveiras_Colheita_Tinta_Negra_Madeira_1929.jpg,,Madeira,D'Oliveiras,"non oak, oak, earth, microbio, dried fruit, spices, citrus fruit, tree fruit, vegetal, black fruit, floral, tropical fruit, red fruit","Sweet desserts, Appetizers and snacks","Verdelho, Sercial, Malmsey, Boal Branco, Terrantez"
Leacock's Tinta Negra Madeira,Portugal,129.99,4.1,images/Leacocks_Tinta_Negra_Madeira.png,images/bottle_Leacocks_Tinta_Negra_Madeira.png,Madeira,Leacock's,non oak,"Sweet desserts, Appetizers and snacks","Verdelho, Sercial, Malmsey, Boal Branco, Terrantez"
Souza Guedes Port 1985,Portugal,145,4.7,images/Souza_Guedes_Port_1985.png,images/bottle_Souza_Guedes_Port_1985.png,Porto,Souza Guedes,"dried fruit, citrus fruit, non oak, oak, earth","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Tinta Roriz, Tinta Barroca, Souzao, Touriga Francesa"
Feuerheerd's LBV Port 2016,Portugal,29.99,3.5,images/Feuerheerds_LBV_Port_2016.png,images/bottle_Feuerheerds_LBV_Port_2016.png,Porto,Feuerheerd's,"oak, non oak, black fruit, spices, red fruit, earth, microbio","Sweet desserts, Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Sandeman The Hat & Cape Vintage Porto 2000,Portugal,119.99,4.5,images/Sandeman_The_Hat_Cape_Vintage_Porto_2000.png,images/bottle_Sandeman_The_Hat_Cape_Vintage_Porto_2000.png,Porto,Sandeman,"black fruit, dried fruit, spices, non oak, oak","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
La Quintinye Vermouth Royal Vermouth Extra Dry,France,16.99,4,images/La_Quintinye_Vermouth_Royal_Vermouth_Extra_Dry.png,images/bottle_La_Quintinye_Vermouth_Royal_Vermouth_Extra_.png,Pineau des Charentes,La Quintinye Vermouth Royal,,,
Quinta do Vesuvio Capela da Quinta do Vesuvio Vintage Port 2016,Portugal,199.96,4.7,images/Quinta_do_Vesuvio_Capela_da_Quinta_do_Vesuvio_Vint.png,images/bottle_Quinta_do_Vesuvio_Capela_da_Quinta_do_Vesuv.png,Porto,Quinta do Vesuvio,"black fruit, spices, earth, oak, red fruit, non oak, tropical fruit, floral, microbio","Mature and hard cheese, Blue cheese","Touriga Nacional, Touriga Franca, Tinta Roriz"
Mata Tinto Reserva Vermouth,Spain,20.65,4,images/Mata_Tinto_Reserva_Vermouth.jpg,,Bierzo,Mata,"citrus fruit, spices, non oak, oak, dried fruit, red fruit, tropical fruit",,
Giacomo Sperone Vermouth di Torino,Italy,14.99,4.1,images/Giacomo_Sperone_Vermouth_di_Torino.jpg,,Piemonte,Giacomo Sperone,,,
