name,country,price,rating,image_url,bottle_image_url,region,winery,flavor,food_pairing,grapes
Leitz Eins Zwei Zero Sparkling Rosé,Germany,21.99,3.6,images/Leitz_Eins_Zwei_Zero_Sparkling_Ros.png,images/bottle_Leitz_Eins_Zwei_Zero_Sparkling_Ros.png,Rheingau,Leitz,"red fruit, citrus fruit, black fruit, tree fruit, dried fruit, floral, earth","Poultry, Appetizers and snacks, Lean fish, Aperitif","Chardonnay, Gewürztraminer, Riesling, Grauburgunder, Silvaner, Kerner, Weissburgunder, Huxelrebe"
Pride Mountain Vineyards Merlot 2019,United States,68.99,4.3,images/Pride_Mountain_Vineyards_Merlot_2019.png,images/bottle_Pride_Mountain_Vineyards_Merlot_2019.png,California,Pride Mountain Vineyards,"oak, black fruit, red fruit, non oak, earth, spices, microbio, dried fruit, floral, vegetal, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Duckhorn Three Palms Vineyard Merlot 2020,United States,114.99,4.3,images/Duckhorn_Three_Palms_Vineyard_Merlot_2020.png,images/bottle_Duckhorn_Three_Palms_Vineyard_Merlot_2020.png,Napa Valley,Duckhorn,"oak, black fruit, non oak, red fruit, spices, earth, microbio, dried fruit, vegetal, floral, citrus fruit, tree fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Markham Vineyards Merlot 2020,United States,30,4,images/Markham_Vineyards_Merlot_2020.png,images/bottle_Markham_Vineyards_Merlot_2020.png,Napa Valley,Markham Vineyards,"oak, black fruit, non oak, spices, red fruit, earth, microbio, dried fruit, vegetal, floral, tree fruit, citrus fruit, tropical fruit","Beef, Lamb, Veal",Merlot
Frey Organic Merlot 2021,United States,13.99,3.7,images/Frey_Organic_Merlot_2021.png,images/bottle_Frey_Organic_Merlot_2021.png,North Coast,Frey,"oak, red fruit, spices, non oak, black fruit, earth","Beef, Lamb, Veal",Merlot
Petrolo Galatrona 2021,Italy,139.99,4.2,images/Petrolo_Galatrona_2021.png,images/bottle_Petrolo_Galatrona_2021.png,Valdarno di Sopra,Petrolo,"oak, black fruit, earth, non oak, red fruit, spices, microbio, floral, dried fruit, vegetal, citrus fruit, tropical fruit, tree fruit","Beef, Lamb, Veal, Poultry, Cured Meat","Cabernet Sauvignon, Merlot, Sangiovese, Canaiolo Nero"
Masiero Gianfranco Verdugo 2010,Italy,35.24,4,images/Masiero_Gianfranco_Verdugo_2010.png,images/bottle_Masiero_Gianfranco_Verdugo_2010.png,Veneto,Masiero Gianfranco,"earth, oak, black fruit, non oak","Beef, Pasta, Lamb, Game (deer, venison)","Nebbiolo, Barbera, Dolcetto"
Avignonesi Desiderio Merlot 2020,Italy,55,4.1,images/Avignonesi_Desiderio_Merlot_2020.png,images/bottle_Avignonesi_Desiderio_Merlot_2020.png,Toscana,Avignonesi,"oak, black fruit, earth, non oak, spices, red fruit, microbio, floral, dried fruit, vegetal, citrus fruit, tree fruit","Beef, Lamb, Veal, Poultry, Cured Meat","Cabernet Sauvignon, Merlot, Sangiovese, Canaiolo Nero"
Luca Paretti Røsa Spumante,Italy,16.99,4.1,images/Luca_Paretti_Rsa_Spumante.png,images/bottle_Luca_Paretti_Rsa_Spumante.png,Veneto,Luca Paretti,"red fruit, tree fruit, floral, microbio, citrus fruit, earth, tropical fruit, non oak","Appetizers and snacks, Aperitif",
Dante Merlot 2023,United States,10.99,3.7,images/Dante_Merlot_2023.png,images/bottle_Dante_Merlot_2023.png,California,Dante,"oak, red fruit, earth, black fruit, spices, non oak, dried fruit, floral, vegetal, microbio, tree fruit","Beef, Lamb, Veal",Merlot
